X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
"4,505312245","1,78975598","0,8396033815","0,5344167489","0,732882969","1,143647511","1,442027927","1,247563373","0,6434708975","0,3635742387","0,3637387942","0,281894949","0,1774688357","0,1231123401","0,06741470859","0,03526101517"
"1,748781567","8,034368508","2,097584606","0,6223125997","0,3796154526","0,8602639095","1,305523251","1,376102041","1,067126167","0,4406547531","0,2739292931","0,2397127285","0,1851011719","0,1197147674","0,05427590098","0,03725449942"
"0,5778365654","3,026449784","11,09539106","1,512499403","0,640297573","0,5295592832","0,766722639","1,098424602","1,199693943","0,6423388995","0,3297442251","0,1605025319","0,1046156859","0,09935286135","0,06796022388","0,04552541777"
"0,3455865699","0,867964798","4,195274844","12,60046338","2,225314431","1,020832438","0,7550713105","1,028680864","1,121769931","1,016578337","0,5236706576","0,2117184438","0,105005092","0,06310056506","0,03359052602","0,02087388925"
"0,5158821402","0,4891371305","0,6130640718","3,771555097","5,192483225","2,161376392","1,334032803","1,113050769","0,901101058","1,02999632","0,6954743938","0,3606702746","0,1289628241","0,04326734353","0,04130684252","0,02988939711"
"0,8637916001","0,5313740042","0,3328387241","1,099884792","2,482177391","3,351011692","1,837637975","1,377837991","1,042626517","0,8293710884","0,7816538236","0,4083943625","0,1703014423","0,048946723","0,02049359729","0,01656226108"
"1,022856924","1,376363959","1,047076234","0,6320754243","1,206764024","1,868994429","2,575933972","1,79492416","1,232177871","0,8871953331","0,6716736274","0,458492511","0,2228250761","0,07060709618","0,03476108828","0,02553560945"
"0,9921400408","1,501893517","1,201964246","0,8541739765","0,81184476","1,373405048","1,704444941","2,522783285","1,68467496","1,010306959","0,7048594028","0,3736592807","0,2242290782","0,1185646446","0,0609510157","0,02079082647"
"0,6038163024","1,075375006","1,251047254","1,189234766","0,902606714","1,085756272","1,387759255","1,551431235","1,929035015","1,178703688","0,7994531254","0,2921815077","0,1900598075","0,09128469703","0,05000740359","0,02295878905"
"0,5009704543","0,7605320726","0,8557672701","1,398076688","0,8190881612","0,8622574136","1,004427118","1,146185451","1,1069877","1,248168948","0,7537934208","0,3481719005","0,133654126","0,05431647141","0,04233507765","0,03802399361"
"0,4645433011","0,7530594608","1,013767196","1,131424539","0,8980857597","1,09319836","0,9838453999","0,9410768011","1,141091575","1,161969897","1,056606256","0,5436589956","0,1811049819","0,05757553149","0,0417082429","0,03718641739"
"0,9315216132","1,124451504","0,8451243235","0,8556262858","0,6883869365","1,045975649","1,080049156","0,8147108568","0,8132814951","0,7113756682","0,7661652725","0,6824687566","0,2901035062","0,1158149548","0,04342106169","0,03907648368"
"0,6533704521","0,6671111397","0,4737985692","0,4842242649","0,4066435989","0,5649163615","0,6509980761","0,7045328623","0,5191802949","0,413580107","0,3862700673","0,3871511331","0,3612552354","0,162038461","0,06928488823","0,02268972229"
"0,4419030256","0,6964822421","0,5579186418","0,2556747355","0,2678011623","0,3210540114","0,4744736867","0,5037753764","0,3993272794","0,2050312278","0,2110671371","0,2276801262","0,2078840164","0,2932348467","0,1014534429","0,03222532768"
"0,1910135088","0,5892709294","0,5067388261","0,4029631493","0,1386580563","0,2472367105","0,2193710941","0,402526806","0,385956467","0,3135420037","0,2530671443","0,164886464","0,2160133002","0,1889047831","0,2302988664","0,1010920312"
"0,2856076575","0,4094729226","0,5562392904","0,4180529636","0,13213656","0,1388648046","0,1920201685","0,3114426243","0,3043663216","0,2995650342","0,2932388501","0,1655751592","0,08347503592","0,1280212389","0,09134432064","0,1029428172"